variance,skewness,curtosis,entropy,class
-1.9409,-8.6848,9.155,0.94049,1
3.1557,2.8908,0.59693,0.79825,0
1.1315,7.9212,1.093,-2.8444,0
-5.1661,8.0433,0.044265,-4.4983,1
-2.1234,1.1815,-0.55552,-0.81165,1
3.4626,-4.449,3.5427,0.15429,0
3.7352,9.5911,-3.9032,-3.3487,0
-1.4781,0.14277,-1.1622,-0.48579,1
0.26637,0.73252,-0.67891,0.03533,1
1.5799,-4.7076,7.9186,-1.5487,0
1.3518,1.0595,-2.3437,0.39998,1
1.3183,1.9017,-3.3111,0.065071,1
0.5706,-0.024841,1.2421,-0.56208,0
0.16358,-3.3584,1.3749,1.3569,1
4.1542,7.2756,-2.4766,-1.2099,0
-0.89542,2.0279,-2.3652,-1.2746,1
-2.0759,10.8223,2.6439,-4.837,0
5.438,9.4669,-4.9417,-3.9202,0
-3.4605,2.6901,0.16165,-1.0224,1
3.9771,11.1513,-3.9272,-4.3444,0
-5.2406,6.6258,-0.19908,-6.8607,1
4.0632,3.584,0.72545,0.39481,0
1.3451,0.23589,-1.8785,1.3258,1
-4.8426,-4.9932,10.4052,-0.53104,1
-1.9881,0.99945,-0.28562,-0.70044,1
3.8197,8.9951,-4.383,-4.0327,0
2.1274,5.1939,-1.7971,-1.1763,0
-3.0193,1.7775,0.73745,-0.45346,1
-0.37013,-5.554,4.7749,1.547,1
4.8368,10.0132,-4.3239,-4.3276,0
-0.69572,8.6165,1.8419,-4.3289,0
0.85574,0.0082678,6.6042,-0.53104,0
-0.45062,-1.3678,7.0858,-0.40303,0
-1.9667,11.8052,-0.40472,-7.8719,0
1.0552,1.1857,-2.6411,0.11033,1
2.229,9.6325,-3.1123,-2.7164,0
-1.2568,-1.4733,2.8718,0.44653,1
-2.2261,12.5398,2.9438,-3.5258,0
5.7456,10.1808,-4.7857,-4.3366,0
0.88298,0.66009,6.0096,-0.43277,0
2.3678,-6.839,8.4207,-0.44829,0
-6.2003,8.6806,0.0091344,-3.703,1
2.8237,2.8597,0.19678,0.57196,0
3.9382,0.9291,0.78543,0.6767,0
-0.70867,-5.5602,4.0483,0.903,1
1.5902,2.2948,3.2403,0.18404,0
-1.3887,-4.8773,6.4774,0.34179,1
